Predicted: 35 | Actual: 35
Predicted: 8 | Actual: 8
Predicted: 6 | Actual: 6
Predicted: 3, 9 | Actual: 3, 9
Predicted: 40, 10 | Actual: 40
Predicted: 4 | Actual: 4
Predicted: 10,3 30 | Actual: 10,3 30
Predicted: 3, 4 | Actual: 3, 4
Predicted: 2, 5, 8 ,11 | Actual: 2, 5, 8, 11
Predicted: 0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9,0 | Actual: 0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9,0
Predicted: 0,0,1,2,3,4,5,6,7,8,9,1,0,1,2,3,4,5,6,7,8,9,2,0,1,2,3,4,5,6,7,8,9... | Actual: 0,0,1,2,3,4,5,6,7,8,9,1,0,1,2,3,4,5,6,7,8,9,2,0,1,2,3,4,5,6,7,8,9...
Too long to type!
Predicted: 10 | Actual: 10
Predicted: 15,10 | Actual: 15,10
Predicted: 15 | Actual: 15
